T1,T2,T0,flag,vref,theta,alpha,beta,a,b,c
1.443375672974064e-05,1.443375672974064e-05,2.1132486540518723e-05,0,7.999999999999998,90.0,-5.921189464667501e-16,7.999999999999998,0.0,6.92820323027551,-6.928203230275508
1.486786855961132e-05,1.3995248237747148e-05,2.1136883202641534e-05,0,8.0,89.0,0.13961925149826843,7.998781561251129,0.1396192514982681,6.857338405616898,-6.996957657115167
1.5297451492690463e-05,1.3552476657565418e-05,2.1150071849744124e-05,0,8.0,88.0,0.2791959736200079,7.995126616152765,0.27919597362000775,6.784384769251408,-7.063580742871416
1.572237467385519e-05,1.3105576861708e-05,2.1172048464436813e-05,0,7.999999999999999,87.0,0.41868764994355046,7.989036278036591,0.4186876499435506,6.709364543563392,-7.128052193506942
1.6142508667388205e-05,1.2654684980181936e-05,2.120280635242986e-05,0,7.999999999999998,86.0,0.5580517899530018,7.980512402078593,0.5580517899530024,6.632300580440334,-7.1903523703933345
1.655772549640514e-05,1.2199938359022222e-05,2.124233614457264e-05,0,8.0,84.99999999999999,0.6972459419812665,7.9695575847339635,0.6972459419812654,6.553216354311933,-7.250462296293201
1.696789868183757e-05,1.1741475518454897e-05,2.1290625799707533e-05,0,7.999999999999998,84.0,0.8362277061412275,7.956175162946185,0.8362277061412278,6.47213595499958,-7.308363661140807
1.737290328095979e-05,1.127943611070242e-05,2.134766060833779e-05,0,7.999999999999997,83.0,0.9749547472411797,7.940369213130574,0.9749547472411798,6.389084080378342,-7.364038827619521
1.777261592544755e-05,1.0813960877444275e-05,2.141342319710818e-05,0,8.0,82.0,1.1133848076805228,7.922144549932562,1.1133848076805235,6.304086028853777,-7.4174708365342985
1.8166914858957205e-05,1.0345191606945664e-05,2.1487893534097135e-05,0,7.999999999999998,81.0,1.2514757203218463,7.9015067247611,1.251475720321847,6.217167691655768,-7.468643411977613
1.8555679974213977e-05,9.873271090867462e-06,2.1571048934918564e-05,0,8.0,80.0,1.3891854213354429,7.878462024097665,1.3891854213354426,6.128355544951824,-7.517540966287267
1.8938792849597696e-05,9.398343080770455e-06,2.166286406963185e-05,0,8.0,79.0,1.526471963012358,7.853017467581312,1.5264719630123584,6.037676641782177,-7.564148604794535
1.9316136785215217e-05,8.920552244327248e-06,2.1763310970457536e-05,0,8.0,78.0,1.6632935265420739,7.8251808058704455,1.6632935265420745,5.945158603819155,-7.608452130361228
1.9687596838448336e-05,8.440044121255092e-06,2.1872359040296575e-05,0,7.999999999999998,77.0,1.799608434750919,7.79496051828188,1.79960843475092,5.850829612953365,-7.650438047704282
2.0053059858966443e-05,7.956965078983057e-06,2.1989975062050503e-05,0,8.0,76.0,1.9353751647973425,7.762365810207972,1.9353751647973418,5.754718402709209,-7.690093567506552
2.0412414523193152e-05,7.471462268067112e-06,2.2116123208739736e-05,0,8.0,75.0,2.070552360820166,7.7274066103125465,2.070552360820166,5.656854249492381,-7.7274066103125465
2.0765551368216592e-05,6.983683577366634e-06,2.2250765054416776e-05,0,7.999999999999998,74.0,2.2050988465359938,7.690093567506549,2.2050988465359933,5.557266963671977,-7.762365810207972
2.111236282513286e-05,6.493777588996029e-06,2.2393859585871114e-05,0,7.999999999999998,73.0,2.3389736377818933,7.650438047704282,2.338973637781894,5.455986880499988,-7.79496051828188
2.145274325181255e-05,6.00189353306518e-06,2.254536321512227e-05,0,8.0,72.0,2.4721359549995787,7.608452130361229,2.472135954999579,5.353044850870867,-7.825180805870445
2.178658896508034e-05,5.508181242222509e-06,2.2705229792697153e-05,0,7.999999999999999,71.0,2.6045452356572536,7.564148604794534,2.6045452356572536,5.248472231924058,-7.853017467581313
2.2113798272297948e-05,5.01279110601451e-06,2.2873410621687544e-05,0,8.0,70.0,2.7361611466053493,7.517540966287267,2.7361611466053497,5.142300877492316,-7.878462024097664
2.2434271502340628e-05,4.515874025075618e-06,2.3049854472583756e-05,0,7.999999999999997,69.0,2.866943596362402,7.468643411977611,2.866943596362402,5.034563128398699,-7.901506724761101
2.2747911035958042e-05,4.0175813651624376e-06,2.3234507598879522e-05,0,8.0,68.0,2.9968527473272957,7.417470836534299,2.996852747327296,4.925291802605267,-7.922144549932562
2.3054621335509932e-05,3.5180649110462346e-06,2.3427313753443837e-05,0,7.999999999999999,66.99999999999999,3.1258490279141906,7.364038827619521,3.12584902791419,4.814520185216385,-7.940369213130577
2.335430897406789e-05,3.0174768202778815e-06,2.3628214205654233e-05,0,7.999999999999999,66.0,3.2538931446064012,7.308363661140807,3.2538931446064017,4.702282018339786,-7.956175162946187
2.3646882663874083e-05,2.515969576839103e-06,2.3837147759286817e-05,0,7.999999999999999,64.99999999999999,3.3809460939255964,7.250462296293199,3.3809460939255955,4.5886114908083675,-7.969557584733965
2.393225328414836e-05,2.01369594469449e-06,2.4054050771157153e-05,0,7.999999999999998,64.0,3.5069691743126183,7.1903523703933345,3.5069691743126192,4.473543227765975,-7.980512402078593
2.4210333908235338e-05,1.510808921258012e-06,2.4278857170506653e-05,0,8.0,63.000000000000014,3.631923997916373,7.128052193506943,3.631923997916374,4.3571122801202185,-7.989036278036591
2.4481039830083105e-05,1.0074616907885657e-06,2.4511498479128332e-05,0,7.999999999999998,61.99999999999999,3.7557725022871264,7.063580742871414,3.7557725022871264,4.239354113865639,-7.995126616152766
2.4744288590045475e-05,5.038075777286198e-07,2.4751903832225908e-05,0,8.000000000000002,61.0,3.8784769619706965,6.996957657115168,3.8784769619706965,4.120304599280435,-7.998781561251131
2.4999999999999994e-05,0.0,2.5000000000000008e-05,0,7.999999999999998,60.0,4.0,6.928203230275508,3.9999999999999996,3.9999999999999996,-8.0
5.038075777286161e-07,2.4744288590045472e-05,2.4751903832225914e-05,0,8.0,59.00000000000001,4.120304599280432,6.857338405616899,4.120304599280433,3.8784769619706974,-7.998781561251131
1.0074616907885695e-06,2.448103983008311e-05,2.4511498479128322e-05,0,8.0,58.0,4.239354113865639,6.784384769251407,4.239354113865639,3.7557725022871256,-7.995126616152766
1.5108089212580046e-06,2.4210333908235348e-05,2.427885717050665e-05,0,7.999999999999998,57.0,4.357112280120216,6.709364543563391,4.357112280120217,3.6319239979163753,-7.989036278036591
2.0136959446945005e-06,2.3932253284148355e-05,2.4054050771157146e-05,0,7.999999999999998,55.99999999999998,4.473543227765976,6.632300580440331,4.473543227765975,3.506969174312618,-7.9805124020785945
2.515969576839107e-06,2.3646882663874083e-05,2.3837147759286813e-05,0,8.0,55.00000000000001,4.588611490808368,6.553216354311935,4.588611490808368,3.380946093925596,-7.969557584733965
3.0174768202778786e-06,2.3354308974067896e-05,2.362821420565423e-05,0,8.0,54.00000000000001,4.702282018339784,6.4721359549995805,4.702282018339785,3.2538931446064034,-7.956175162946187
3.518064911046239e-06,2.3054621335509935e-05,2.3427313753443827e-05,0,8.0,53.00000000000001,4.814520185216385,6.389084080378343,4.814520185216386,3.12584902791419,-7.940369213130576
